mean,var,calculus,maxAbs,deltaT,median,gradientF,gradientS,bS,label
-0.004434028,7.99E-06,-1.050864686,0.009287625,237,-0.003026801,-0.00017485,4.55E-05,-0.0080197,1
-0.031025879,0.000218503,-11.69675639,0.05434635,377,-0.033267492,-0.000144744,0.000706485,-0.062827091,1
0.030839936,0.00015384,16.34516625,0.049149801,530,0.027514746,0.000458757,-6.09E-06,0.031318811,1
0.053777272,0.001043721,12.20744081,0.097121044,227,0.056045446,0.001098894,-0.000882714,0.107558024,1
-0.018537293,0.000252436,-6.043157477,0.045290746,326,-0.013652705,-0.000199065,0.000508712,-0.05125351,1
-0.020960605,0.000115598,-4.317884604,0.034177403,206,-0.022979147,-0.000392125,0.00032594,-0.03880025,1
0.007194286,6.03E-06,2.611525831,0.010454792,363,0.007559981,6.25E-06,-0.00017322,0.012009445,1
0.019002274,0.000112798,2.584309222,0.032657238,136,0.020414421,0.000531646,-0.000534939,0.0369601,1
0.049482996,0.000775769,9.401769202,0.085317892,190,0.053160857,0.000890411,-0.001132091,0.097991975,1
0.01344438,2.67E-05,2.352766496,0.018757382,175,0.015654336,0.000129554,-0.000322173,0.021787178,1
-0.015212391,6.05E-05,-2.29707098,0.024814843,151,-0.016543714,-0.00041513,0.000304324,-0.027914486,1
-0.018863478,0.000101705,-2.244753884,0.03139133,119,-0.020726503,-0.000479007,0.000668753,-0.036077395,1
0.040148514,0.00045516,5.339752369,0.067122003,133,0.043459298,0.00115379,-0.001046695,0.075608581,1
0.019131046,8.58E-05,1.989628831,0.029932849,104,0.02133915,0.000630544,-0.000562957,0.03428259,1
0.057415826,0.00093034,8.325294839,0.096127562,145,0.062185767,0.001365839,-0.001501162,0.109695367,1
-0.034887492,0.000433431,-21.45580749,0.072996628,615,-0.034620593,-0.000348603,0.000126904,-0.057436007,1
0.051142386,0.000789222,9.921622836,0.086672095,194,0.055473548,0.001037687,-0.000947275,0.098835242,1
-0.010301412,3.01E-05,-1.205265253,0.017145716,117,-0.011284317,-0.000430066,0.000252241,-0.019087519,1
0.007836666,1.58E-05,1.293049887,0.012743663,165,0.008565653,0.000150959,-0.000176672,0.014648613,1
-0.009077823,2.35E-05,-2.923058874,0.01913596,322,-0.008842962,-2.19E-05,0.000389889,-0.022035734,1
0.016307578,6.29E-05,1.663373004,0.025631936,102,0.01814563,0.000526299,-0.00051532,0.029360863,1
-0.037936742,0.000275892,-14.4538986,0.063299402,381,-0.034831033,-0.000167345,0.000665222,-0.073686158,1
-0.050617691,0.000779756,-10.42724427,0.08578564,206,-0.055148341,-0.000918451,0.000910885,-0.098286567,1
0.02277309,0.000163627,3.279324969,0.039753055,144,0.023920934,0.000795809,-0.000491002,0.043318032,1
-0.026417156,0.000211929,-3.909739025,0.045145228,148,-0.028346458,-0.000604489,0.000727674,-0.051519135,1
0.020176838,0.000100677,2.259805885,0.0319548,112,0.022509768,0.000623021,-0.00058668,0.036596454,1
0.0945191,0.003054017,15.87920873,0.168110571,168,0.099591263,0.002209516,-0.002302099,0.189906874,1
-0.023594805,7.06E-05,-5.285236317,0.037589335,224,-0.023870757,-0.000906791,9.59E-05,-0.031925229,1
0.04475185,0.000482809,8.637107138,0.071152961,193,0.049565928,0.000671577,-0.000904937,0.082397793,1
-0.026383836,0.000162217,-3.904807799,0.041731229,148,-0.029054585,-0.000747385,0.000478559,-0.046979059,1
0.027023407,0.000209823,5.755985778,0.04530731,213,0.029159683,0.000479216,-0.000451516,0.050996043,1
-0.007064082,1.29E-05,-0.741728662,0.011415978,105,-0.007793981,-0.000254194,0.000214887,-0.012981503,1
-0.004625908,5.75E-06,-0.976066662,0.00894703,211,-0.003948336,-0.00017361,3.71E-05,-0.007205222,1
0.020477007,0.000144326,3.419660182,0.036345348,167,0.021602427,0.00048974,-0.000497176,0.041153032,1
-0.010700283,6.15E-05,-2.610868983,0.024031056,244,-0.007523147,-0.000132753,0.000342922,-0.027328603,1
-0.005827671,7.77E-06,-0.641043775,0.009006596,110,-0.006549872,-0.00016802,0.00017019,-0.010379025,1
0.010063693,2.37E-05,1.710827828,0.01578184,170,0.011204982,0.000215598,-0.000176267,0.018090626,1
0.016528979,7.11E-05,1.752071754,0.026690317,106,0.018265614,0.000467462,-0.000588268,0.030515943,1
-0.061332278,0.001292312,-12.94111074,0.109512613,211,-0.064680842,-0.001319752,0.001052277,-0.120763424,1
-0.007714486,2.31E-05,-1.164887313,0.014543898,151,-0.007756181,-0.000317139,0.000162477,-0.015154906,1
0.01281532,6.27E-05,2.460541352,0.023688902,192,0.013186405,0.000230282,-0.000337545,0.027129673,1
-0.008028169,1.59E-05,-0.987464807,0.012736389,123,-0.00895099,-0.000247417,0.000197042,-0.014547074,1
0.007175707,9.11E-06,1.456668517,0.010769408,203,0.007937287,0.000170522,-6.88E-05,0.01187559,1
-0.012623335,5.12E-05,-6.791354134,0.024857104,538,-0.011799663,5.54E-07,0.000101863,-0.021744304,1
-0.063284599,0.001422202,-11.96078921,0.114870608,189,-0.065106547,-0.00152148,0.001253859,-0.126488666,1
0.009438621,3.82E-05,2.973165594,0.021068557,315,0.00663814,0.000367323,-6.13E-05,0.016121301,1
-0.006304836,1.04E-05,-0.939420637,0.010255045,149,-0.006952225,-0.000146355,0.000148781,-0.011715672,1
-0.023864632,0.000575062,-16.44273124,0.083741336,689,-0.014664461,-6.85E-05,0.00086299,-0.095653881,1
-0.019703522,8.14E-05,-3.34959879,0.029966221,170,-0.022148273,-0.000414402,0.000301909,-0.034306235,1
0.059754134,0.001007844,16.55189516,0.108496299,277,0.057561615,0.001177614,-0.000574314,0.109119432,1
-0.021312851,0.000117237,-2.536229222,0.034397942,119,-0.023647635,-0.000699253,0.000554904,-0.039058869,1
0.026719399,0.000166713,5.130124654,0.043073033,192,0.028621113,0.000376325,-0.000571959,0.049632763,1
-0.028707659,0.000198333,-3.703287982,0.04539148,129,-0.031777229,-0.0007308,0.000734103,-0.051990228,1
0.035850717,0.000516645,7.205994026,0.066882906,201,0.036964026,0.000924566,-0.000649789,0.071711693,1
0.024488201,0.000206355,4.873152007,0.043316559,199,0.026052594,0.000489585,-0.000491507,0.049100697,1
0.022094728,0.000128446,4.24218779,0.035638172,192,0.024553529,0.000407289,-0.000392477,0.041160226,1
-0.012166066,6.15E-05,-3.321336093,0.025915983,273,-0.009258839,-9.26E-05,0.000369089,-0.029850651,1
0.021539161,9.30E-05,3.81243158,0.032346618,177,0.024346877,0.00046753,-0.000291412,0.036948267,1
-0.021266269,0.000143482,-3.083608971,0.036750662,145,-0.022707738,-0.000625852,0.00051774,-0.041106411,1
-0.020940113,0.000152337,-4.104262105,0.037507832,196,-0.021977525,-0.00044141,0.000425298,-0.042003218,1
0.017160412,0.000122438,3.603686486,0.034156895,210,0.015188088,0.000238993,-0.000543424,0.039415435,1
-0.031454393,0.000260649,-4.277797397,0.051431105,136,-0.03434257,-0.000810008,0.000808983,-0.058434799,1
0.01899501,7.13E-05,2.678296458,0.02804863,141,0.021573052,0.000413755,-0.00038082,0.032496246,1
-0.024359081,0.000192301,-12.83723558,0.055179582,527,-0.023347684,-0.000694912,7.56E-05,-0.039306476,1
0.01726371,3.97E-05,4.747520194,0.025086101,275,0.018090048,0.000390042,-1.84E-05,0.019813856,1
-0.024909176,0.00016581,-3.337829643,0.040871325,134,-0.02719553,-0.000637413,0.000666644,-0.046501522,1
0.024840196,0.000165925,8.569867582,0.048018511,345,0.019367743,0.000486173,-0.000139617,0.039526417,1
-0.010436991,2.68E-05,-1.043699067,0.016536437,100,-0.011620912,-0.000381702,0.000319484,-0.018860371,1
0.030644016,0.000561458,13.20757079,0.075782228,431,0.020699546,0.000220727,-0.000578695,0.080293038,1
-0.01352426,7.62E-05,-4.124899417,0.027000263,305,-0.01226575,-0.000226577,0.000163537,-0.026167426,1
-0.009133726,2.38E-05,-1.370058897,0.015272837,150,-0.009902355,-0.000213527,0.000228721,-0.01743727,1
0.007975255,9.61E-06,2.591958032,0.014201908,325,0.008147063,1.87E-05,-0.000249518,0.016360521,1
-0.012121163,3.38E-05,-1.442418446,0.01889623,119,-0.013453669,-0.000311369,0.000336192,-0.021742174,1
0.031345157,0.000265546,5.767508893,0.051110367,184,0.034600305,0.00064105,-0.000566717,0.058584984,1
0.01740896,8.25E-05,2.089075156,0.028619384,120,0.019067596,0.000560779,-0.000478608,0.032367527,1
0.023871483,0.000157445,4.392352841,0.039963043,184,0.025643335,0.000481555,-0.00044976,0.045101599,1
-0.064537244,0.001457222,-22.00720033,0.122171235,341,-0.064983191,-0.000792848,0.000750196,-0.131856944,1
0.008924993,3.73E-05,2.097373257,0.01990562,235,0.006935603,8.71E-05,-0.000301937,0.022514721,0
0.003298571,2.46E-06,0.376037077,0.005129274,114,0.003675254,8.67E-05,-9.54E-05,0.005889487,0
-0.009776575,2.44E-05,-1.495815978,0.016167483,153,-0.010493506,-0.000258275,0.000185086,-0.017875028,0
0.017635898,9.32E-05,2.186851361,0.029932246,124,0.019026914,0.000509655,-0.000541804,0.034050146,0
-0.013598313,4.70E-05,-1.50941275,0.021871217,111,-0.015085738,-0.000469099,0.000378571,-0.024874392,0
0.018797193,5.97E-05,4.924864579,0.028150092,262,0.020788562,0.000303335,-0.000140561,0.030810226,0
-0.017630718,8.76E-05,-2.644607719,0.029465741,150,-0.019071005,-0.000444969,0.000410154,-0.033301754,0
0.019804617,8.84E-05,6.377086686,0.035409439,322,0.018451508,0.000119767,-0.000396492,0.040419554,0
-0.014094336,6.05E-05,-2.635640877,0.02388502,187,-0.015354915,-0.000293208,0.000274806,-0.027284657,0
0.029662472,0.000226447,11.98363858,0.052407004,404,0.030403402,0.000563175,-9.45E-05,0.044431636,0
-0.009954535,2.83E-05,-1.851543594,0.017245074,186,-0.010227071,-0.000148009,0.000273603,-0.019825773,0
0.008930642,1.91E-05,2.589886205,0.015441744,290,0.009442702,2.02E-05,-0.00019834,0.017825331,0
-0.016781727,7.17E-05,-2.433350482,0.026970634,145,-0.018638908,-0.000382935,0.000402462,-0.030953347,0
0.012909113,3.12E-05,4.647280842,0.021495659,360,0.013353176,0.000355666,-2.66E-05,0.016621478,0
-0.007504953,1.78E-05,-1.51600056,0.013580181,202,-0.007308698,-0.000111778,0.000187691,-0.015569826,0
-0.006968105,1.24E-05,-0.905853651,0.011267454,130,-0.007651149,-0.000156275,0.000213226,-0.012996505,0
0.014105148,2.89E-05,4.090492872,0.020983984,290,0.014798628,0.000359755,-2.47E-05,0.017339423,0
-0.011265287,2.56E-05,-1.881302869,0.016747815,167,-0.012850469,-0.000200889,0.000202495,-0.019486811,0
0.015457209,6.20E-05,2.055808779,0.025093284,133,0.01687307,0.000358235,-0.000443318,0.028906701,0
-0.016152546,6.94E-05,-2.083678451,0.026312107,129,-0.017658149,-0.000492741,0.000397366,-0.029823299,0
0.007687437,1.49E-05,2.106357658,0.013437158,274,0.008083615,3.86E-06,-0.000252332,0.015421206,0
-0.007850515,1.30E-05,-0.91065971,0.011958943,116,-0.008794446,-0.000225569,0.000192972,-0.013691911,0
0.011895655,3.86E-05,1.76055699,0.019634853,148,0.012960318,0.000298616,-0.000273971,0.022324328,0
-0.012513741,6.10E-05,-5.080578799,0.026031023,406,-0.012567242,-0.00026537,3.55E-05,-0.016911841,0
-0.017011466,0.000109703,-3.742522468,0.031097571,220,-0.017884479,-0.000256629,0.000406006,-0.035807421,0
0.030949917,0.0002326,9.192125228,0.051516528,297,0.03299215,0.00051491,-0.000265108,0.055564808,0
0.013785048,5.12E-05,1.764486189,0.022560123,128,0.015128361,0.000415566,-0.000350927,0.025671096,0
